# BUSCO version is: 3.1.0 
# The lineage dataset is: mollusca_odb10 (Creation date: 2019-11-20, number of species: 7, number of BUSCOs: 5295)
# To reproduce this run: python /programs/busco-3.1.0/scripts/run_BUSCO.py -i ./Similis_Trinity.fasta -o trinityBUSCO_Similis -l ./mollusca_odb10/ -m transcriptome -c 22
#
# Busco id	Status	Sequence	Score	Length
10128at6447	Duplicated	TRINITY_DN2950_c0_g1_i1	155.5	120
10128at6447	Duplicated	TRINITY_DN2950_c0_g1_i2	155.5	120
10129at6447	Duplicated	TRINITY_DN7845_c0_g1_i1	180.3	114
10129at6447	Duplicated	TRINITY_DN7845_c0_g1_i2	193.2	111
10129at6447	Duplicated	TRINITY_DN7845_c0_g1_i4	197.3	115
1012at6447	Missing
10133at6447	Missing
10134at6447	Complete	TRINITY_DN3271_c0_g1_i1	248.2	196
10135at6447	Duplicated	TRINITY_DN3580_c0_g1_i10	95.6	182
10135at6447	Duplicated	TRINITY_DN3580_c0_g1_i5	95.5	182
10135at6447	Duplicated	TRINITY_DN3580_c0_g1_i9	94.2	209
10138at6447	Complete	TRINITY_DN7534_c1_g1_i1	276.5	213
10143at6447	Fragmented	TRINITY_DN30994_c0_g2_i1	179.8	119
10146at6447	Missing
10149at6447	Duplicated	TRINITY_DN33618_c0_g1_i1	209.2	117
10149at6447	Duplicated	TRINITY_DN33618_c0_g1_i2	209.2	117
10149at6447	Duplicated	TRINITY_DN33618_c0_g1_i3	209.2	117
1014at6447	Duplicated	TRINITY_DN4397_c0_g1_i3	1331.1	1135
1014at6447	Duplicated	TRINITY_DN4397_c0_g1_i4	1331.1	1135
10152at6447	Duplicated	TRINITY_DN358_c0_g2_i3	149.0	160
10152at6447	Duplicated	TRINITY_DN358_c0_g2_i4	148.9	160
1015at6447	Complete	TRINITY_DN5023_c0_g1_i1	997.1	494
10160at6447	Missing
10162at6447	Duplicated	TRINITY_DN6066_c0_g1_i2	150.7	73
10162at6447	Duplicated	TRINITY_DN6066_c0_g1_i3	151.1	73
10162at6447	Duplicated	TRINITY_DN6066_c0_g1_i4	151.1	73
10168at6447	Complete	TRINITY_DN18658_c0_g2_i2	147.9	140
10170at6447	Duplicated	TRINITY_DN14298_c0_g1_i1	151.9	102
10170at6447	Duplicated	TRINITY_DN3078_c1_g2_i1	173.2	123
10174at6447	Duplicated	TRINITY_DN925_c0_g1_i1	232.5	143
10174at6447	Duplicated	TRINITY_DN925_c0_g1_i3	231.1	143
10176at6447	Duplicated	TRINITY_DN2834_c0_g1_i1	271.8	222
10176at6447	Duplicated	TRINITY_DN2834_c0_g1_i2	251.0	174
10180at6447	Complete	TRINITY_DN3515_c0_g1_i4	299.6	224
10181at6447	Duplicated	TRINITY_DN11506_c0_g1_i1	204.0	191
10181at6447	Duplicated	TRINITY_DN11506_c0_g1_i2	198.6	208
10184at6447	Complete	TRINITY_DN5218_c0_g1_i1	194.7	225
10187at6447	Missing
1018at6447	Missing
10196at6447	Duplicated	TRINITY_DN19446_c1_g2_i1	143.1	115
10196at6447	Duplicated	TRINITY_DN19446_c1_g3_i2	127.7	312
10197at6447	Complete	TRINITY_DN5622_c0_g1_i4	381.1	594
101at6447	Duplicated	TRINITY_DN4778_c0_g1_i2	3960.7	2612
101at6447	Duplicated	TRINITY_DN4778_c0_g1_i3	3959.2	2591
101at6447	Duplicated	TRINITY_DN4778_c0_g1_i4	3959.2	2591
10209at6447	Complete	TRINITY_DN18825_c0_g2_i1	165.0	190
1020at6447	Duplicated	TRINITY_DN38179_c0_g1_i1	1123.4	787
1020at6447	Duplicated	TRINITY_DN38179_c0_g1_i3	1123.4	787
1020at6447	Duplicated	TRINITY_DN38179_c0_g1_i7	1120.2	791
10214at6447	Duplicated	TRINITY_DN26011_c0_g1_i1	192.7	257
10214at6447	Duplicated	TRINITY_DN26011_c0_g1_i4	192.6	257
10219at6447	Complete	TRINITY_DN5502_c0_g2_i1	179.7	128
1021at6447	Missing
10221at6447	Complete	TRINITY_DN23620_c0_g1_i1	195.1	118
10226at6447	Complete	TRINITY_DN15008_c0_g2_i1	151.9	106
10227at6447	Duplicated	TRINITY_DN4574_c0_g1_i1	135.6	105
10227at6447	Duplicated	TRINITY_DN4574_c0_g1_i2	135.6	105
10227at6447	Duplicated	TRINITY_DN4574_c0_g1_i4	135.4	105
10228at6447	Duplicated	TRINITY_DN781_c1_g1_i1	224.9	126
10228at6447	Duplicated	TRINITY_DN781_c1_g1_i4	224.8	126
10228at6447	Duplicated	TRINITY_DN781_c1_g1_i5	225.3	126
1022at6447	Duplicated	TRINITY_DN6874_c0_g1_i1	1219.1	1050
1022at6447	Duplicated	TRINITY_DN6874_c0_g1_i5	1215.6	1011
10230at6447	Duplicated	TRINITY_DN1593_c1_g1_i1	156.7	122
10230at6447	Duplicated	TRINITY_DN1593_c1_g1_i2	156.6	122
10230at6447	Duplicated	TRINITY_DN1593_c1_g1_i3	156.7	122
10231at6447	Complete	TRINITY_DN20699_c0_g2_i2	164.8	122
10234at6447	Complete	TRINITY_DN20025_c1_g1_i1	281.8	362
10237at6447	Missing
1023at6447	Missing
10243at6447	Complete	TRINITY_DN22571_c0_g1_i1	198.5	201
10244at6447	Complete	TRINITY_DN13586_c0_g1_i1	409.2	651
10245at6447	Missing
10246at6447	Complete	TRINITY_DN12427_c0_g1_i1	263.3	325
10253at6447	Duplicated	TRINITY_DN1396_c0_g1_i1	189.1	119
10253at6447	Duplicated	TRINITY_DN1396_c0_g1_i2	189.1	130
10254at6447	Duplicated	TRINITY_DN7308_c0_g1_i2	198.8	120
10254at6447	Duplicated	TRINITY_DN7308_c0_g1_i8	199.2	120
10255at6447	Duplicated	TRINITY_DN1222_c1_g1_i4	207.7	119
10255at6447	Duplicated	TRINITY_DN1222_c1_g1_i5	207.2	119
10256at6447	Duplicated	TRINITY_DN23931_c0_g1_i1	148.9	151
10256at6447	Duplicated	TRINITY_DN23931_c0_g1_i2	149.2	130
10259at6447	Duplicated	TRINITY_DN7586_c0_g1_i1	196.8	95
10259at6447	Duplicated	TRINITY_DN7586_c0_g1_i3	195.3	95
10262at6447	Complete	TRINITY_DN27779_c0_g1_i1	130.0	97
10265at6447	Complete	TRINITY_DN41970_c0_g2_i1	110.1	182
10268at6447	Complete	TRINITY_DN16038_c0_g1_i1	224.4	152
10272at6447	Duplicated	TRINITY_DN3184_c0_g1_i1	190.6	121
10272at6447	Duplicated	TRINITY_DN3184_c0_g1_i2	190.6	121
10272at6447	Duplicated	TRINITY_DN3184_c0_g1_i3	190.5	121
10275at6447	Duplicated	TRINITY_DN14216_c0_g1_i1	216.8	157
10275at6447	Duplicated	TRINITY_DN14216_c0_g1_i2	216.8	157
10278at6447	Missing
10279at6447	Missing
1027at6447	Missing
10280at6447	Missing
10281at6447	Duplicated	TRINITY_DN3081_c0_g1_i1	208.0	204
10281at6447	Duplicated	TRINITY_DN3081_c0_g1_i2	207.7	204
10282at6447	Complete	TRINITY_DN45301_c0_g1_i1	160.4	155
10285at6447	Missing
10287at6447	Missing
1028at6447	Duplicated	TRINITY_DN5922_c1_g2_i2	1246.7	686
1028at6447	Duplicated	TRINITY_DN5922_c1_g2_i3	1246.7	686
1028at6447	Duplicated	TRINITY_DN5922_c1_g2_i4	1246.7	686
10293at6447	Complete	TRINITY_DN34175_c0_g2_i1	306.0	316
10294at6447	Duplicated	TRINITY_DN4527_c0_g1_i12	316.4	299
10294at6447	Duplicated	TRINITY_DN4527_c0_g1_i8	316.4	299
10294at6447	Duplicated	TRINITY_DN4527_c0_g1_i9	316.4	299
10296at6447	Duplicated	TRINITY_DN3261_c1_g1_i1	220.2	179
10296at6447	Duplicated	TRINITY_DN3261_c1_g1_i2	219.9	179
1029at6447	Complete	TRINITY_DN48600_c0_g1_i2	1022.2	606
10300at6447	Missing
10303at6447	Complete	TRINITY_DN59346_c0_g1_i1	187.0	153
10305at6447	Complete	TRINITY_DN7468_c0_g1_i1	139.2	142
10311at6447	Duplicated	TRINITY_DN7079_c0_g1_i3	248.8	269
10311at6447	Duplicated	TRINITY_DN7079_c0_g1_i5	249.0	269
10311at6447	Duplicated	TRINITY_DN7079_c0_g1_i6	249.0	269
10313at6447	Complete	TRINITY_DN7751_c1_g1_i1	235.3	251
10315at6447	Missing
10319at6447	Duplicated	TRINITY_DN15007_c0_g1_i1	191.3	113
10319at6447	Duplicated	TRINITY_DN15007_c0_g1_i8	192.4	113
10319at6447	Duplicated	TRINITY_DN15007_c0_g1_i9	191.3	113
10320at6447	Missing
10321at6447	Complete	TRINITY_DN298_c1_g1_i1	137.3	98
10322at6447	Missing
10323at6447	Duplicated	TRINITY_DN11539_c4_g1_i1	164.9	100
10323at6447	Duplicated	TRINITY_DN11539_c4_g1_i3	165.6	100
10324at6447	Missing
10325at6447	Duplicated	TRINITY_DN30542_c0_g1_i1	126.0	82
10325at6447	Duplicated	TRINITY_DN30542_c0_g1_i2	126.0	82
10325at6447	Duplicated	TRINITY_DN30542_c0_g1_i3	126.0	82
10326at6447	Duplicated	TRINITY_DN7910_c0_g1_i2	362.3	424
10326at6447	Duplicated	TRINITY_DN7910_c0_g1_i3	324.4	209
10327at6447	Missing
1032at6447	Duplicated	TRINITY_DN1382_c1_g1_i1	1156.1	771
1032at6447	Duplicated	TRINITY_DN1382_c1_g1_i5	1145.8	727
1032at6447	Duplicated	TRINITY_DN1382_c1_g1_i7	1156.6	771
10331at6447	Missing
10336at6447	Complete	TRINITY_DN15920_c0_g1_i1	203.6	168
10337at6447	Duplicated	TRINITY_DN1866_c0_g2_i1	218.6	180
10337at6447	Duplicated	TRINITY_DN1866_c0_g2_i4	204.9	180
10337at6447	Duplicated	TRINITY_DN1866_c0_g2_i5	204.8	180
10339at6447	Duplicated	TRINITY_DN1807_c1_g1_i3	258.4	182
10339at6447	Duplicated	TRINITY_DN1807_c1_g1_i4	258.4	182
1033at6447	Complete	TRINITY_DN23301_c1_g1_i1	1262.1	700
10341at6447	Duplicated	TRINITY_DN7299_c0_g1_i1	277.0	591
10341at6447	Duplicated	TRINITY_DN7299_c0_g1_i2	267.7	595
10348at6447	Missing
10350at6447	Duplicated	TRINITY_DN6368_c0_g1_i5	342.1	402
10350at6447	Duplicated	TRINITY_DN6368_c0_g1_i9	342.4	402
10351at6447	Missing
10355at6447	Duplicated	TRINITY_DN11163_c0_g1_i1	195.8	170
10355at6447	Duplicated	TRINITY_DN11163_c0_g1_i2	193.8	170
10356at6447	Missing
10358at6447	Complete	TRINITY_DN2409_c0_g1_i13	211.8	329
10360at6447	Complete	TRINITY_DN22000_c0_g2_i1	109.7	266
10364at6447	Complete	TRINITY_DN3902_c0_g1_i1	224.1	108
10367at6447	Duplicated	TRINITY_DN2509_c0_g1_i1	152.5	124
10367at6447	Duplicated	TRINITY_DN2509_c0_g1_i2	153.0	124
10368at6447	Complete	TRINITY_DN8904_c0_g1_i1	155.1	86
10369at6447	Duplicated	TRINITY_DN56439_c0_g2_i1	222.9	130
10369at6447	Duplicated	TRINITY_DN56439_c0_g2_i2	194.4	131
1036at6447	Complete	TRINITY_DN23524_c0_g3_i1	669.0	425
10370at6447	Missing
10372at6447	Complete	TRINITY_DN22557_c0_g1_i1	222.0	189
10376at6447	Missing
10380at6447	Duplicated	TRINITY_DN662_c0_g1_i1	166.1	114
10380at6447	Duplicated	TRINITY_DN662_c0_g1_i2	166.4	114
10383at6447	Duplicated	TRINITY_DN3924_c1_g1_i1	228.5	292
10383at6447	Duplicated	TRINITY_DN3924_c1_g1_i2	229.2	292
10383at6447	Duplicated	TRINITY_DN3924_c1_g1_i3	230.8	292
10385at6447	Complete	TRINITY_DN21288_c0_g1_i1	338.1	288
10386at6447	Missing
10387at6447	Fragmented	TRINITY_DN71951_c0_g1_i1	184.0	145
10392at6447	Duplicated	TRINITY_DN15758_c0_g1_i2	234.7	261
10392at6447	Duplicated	TRINITY_DN15758_c0_g1_i3	234.6	260
10394at6447	Complete	TRINITY_DN16348_c0_g1_i2	212.0	177
10399at6447	Complete	TRINITY_DN16586_c0_g4_i1	218.8	488
10401at6447	Missing
10407at6447	Duplicated	TRINITY_DN7033_c0_g1_i1	216.1	363
10407at6447	Duplicated	TRINITY_DN7033_c0_g1_i2	216.5	363
1040at6447	Missing
10412at6447	Duplicated	TRINITY_DN7762_c0_g1_i1	131.9	147
10412at6447	Duplicated	TRINITY_DN7762_c0_g1_i2	131.8	147
10417at6447	Duplicated	TRINITY_DN1498_c0_g2_i1	320.2	229
10417at6447	Duplicated	TRINITY_DN1498_c0_g2_i2	320.3	229
10418at6447	Complete	TRINITY_DN27546_c0_g1_i1	223.0	294
10421at6447	Missing
10423at6447	Complete	TRINITY_DN16423_c0_g1_i1	140.7	97
10424at6447	Complete	TRINITY_DN24708_c0_g2_i1	187.3	110
10427at6447	Missing
1042at6447	Duplicated	TRINITY_DN10063_c0_g1_i1	1062.7	708
1042at6447	Duplicated	TRINITY_DN10063_c0_g1_i2	1062.6	708
1042at6447	Duplicated	TRINITY_DN10063_c0_g1_i6	1062.7	708
10431at6447	Missing
10432at6447	Duplicated	TRINITY_DN2162_c0_g1_i1	144.0	105
10432at6447	Duplicated	TRINITY_DN2162_c0_g1_i2	135.3	101
10434at6447	Complete	TRINITY_DN6349_c0_g1_i1	174.5	122
10440at6447	Complete	TRINITY_DN8403_c0_g1_i3	158.5	128
10442at6447	Duplicated	TRINITY_DN12731_c0_g1_i1	181.5	137
10442at6447	Duplicated	TRINITY_DN12731_c0_g1_i2	181.5	137
10443at6447	Missing
10445at6447	Complete	TRINITY_DN4754_c0_g2_i1	191.8	162
1044at6447	Duplicated	TRINITY_DN1995_c0_g1_i17	915.1	676
1044at6447	Duplicated	TRINITY_DN1995_c0_g1_i5	931.1	677
1044at6447	Duplicated	TRINITY_DN1995_c0_g1_i6	931.1	677
10451at6447	Complete	TRINITY_DN10292_c0_g3_i1	187.7	227
10455at6447	Duplicated	TRINITY_DN4088_c0_g1_i1	266.4	290
10455at6447	Duplicated	TRINITY_DN4088_c0_g1_i2	263.5	274
10457at6447	Missing
10463at6447	Duplicated	TRINITY_DN1598_c0_g1_i1	238.0	174
10463at6447	Duplicated	TRINITY_DN1598_c0_g1_i2	238.0	169
10468at6447	Duplicated	TRINITY_DN8792_c0_g1_i4	143.0	100
10468at6447	Duplicated	TRINITY_DN8792_c0_g1_i6	143.1	100
10468at6447	Duplicated	TRINITY_DN8792_c0_g1_i7	141.8	100
10469at6447	Complete	TRINITY_DN80641_c0_g1_i1	174.3	117
10470at6447	Complete	TRINITY_DN24144_c0_g1_i1	146.1	134
10471at6447	Duplicated	TRINITY_DN4703_c1_g2_i1	153.2	126
10471at6447	Duplicated	TRINITY_DN4703_c1_g2_i2	153.2	126
10473at6447	Complete	TRINITY_DN25038_c0_g2_i1	145.0	82
10476at6447	Duplicated	TRINITY_DN1458_c0_g1_i11	175.1	136
10476at6447	Duplicated	TRINITY_DN1458_c0_g1_i3	175.0	136
10476at6447	Duplicated	TRINITY_DN1458_c0_g1_i5	175.0	136
1047at6447	Duplicated	TRINITY_DN1773_c0_g1_i1	1244.3	832
1047at6447	Duplicated	TRINITY_DN1773_c0_g1_i3	1242.3	831
1047at6447	Duplicated	TRINITY_DN1773_c0_g1_i6	1244.3	832
10486at6447	Missing
10488at6447	Missing
10497at6447	Duplicated	TRINITY_DN11383_c0_g1_i1	162.0	78
10497at6447	Duplicated	TRINITY_DN11383_c0_g1_i3	162.0	78
1049at6447	Duplicated	TRINITY_DN6357_c1_g1_i1	1129.8	626
1049at6447	Duplicated	TRINITY_DN6357_c1_g1_i10	1129.8	626
1049at6447	Duplicated	TRINITY_DN6357_c1_g1_i4	1129.8	626
10504at6447	Duplicated	TRINITY_DN8557_c2_g1_i2	141.6	97
10504at6447	Duplicated	TRINITY_DN8557_c2_g1_i3	141.7	97
10509at6447	Duplicated	TRINITY_DN5516_c0_g1_i1	145.9	151
10509at6447	Duplicated	TRINITY_DN5516_c0_g1_i3	145.8	151
1050at6447	Missing
10511at6447	Complete	TRINITY_DN2704_c0_g2_i1	263.3	157
10515at6447	Complete	TRINITY_DN17405_c0_g1_i2	307.4	500
10517at6447	Duplicated	TRINITY_DN5904_c0_g1_i10	177.6	379
10517at6447	Duplicated	TRINITY_DN5904_c0_g1_i6	178.1	293
10517at6447	Duplicated	TRINITY_DN5904_c0_g1_i7	182.8	297
1051at6447	Missing
10520at6447	Duplicated	TRINITY_DN1202_c4_g1_i1	268.0	202
10520at6447	Duplicated	TRINITY_DN1202_c4_g1_i3	268.0	202
10521at6447	Missing
10523at6447	Duplicated	TRINITY_DN23288_c0_g2_i1	205.7	238
10523at6447	Duplicated	TRINITY_DN23288_c0_g2_i2	205.0	238
10523at6447	Duplicated	TRINITY_DN23288_c0_g2_i4	205.8	238
10526at6447	Missing
10527at6447	Duplicated	TRINITY_DN21304_c0_g1_i1	252.7	419
10527at6447	Duplicated	TRINITY_DN21304_c0_g1_i2	252.7	419
1052at6447	Complete	TRINITY_DN9020_c0_g1_i1	1109.5	602
10530at6447	Duplicated	TRINITY_DN6286_c0_g1_i10	309.1	555
10530at6447	Duplicated	TRINITY_DN6286_c0_g1_i12	308.5	552
10530at6447	Duplicated	TRINITY_DN6286_c0_g1_i5	309.3	574
10532at6447	Duplicated	TRINITY_DN9400_c0_g1_i1	154.0	90
10532at6447	Duplicated	TRINITY_DN9400_c0_g1_i2	152.3	90
10532at6447	Duplicated	TRINITY_DN9400_c0_g1_i4	153.9	90
10534at6447	Duplicated	TRINITY_DN4858_c1_g1_i2	154.6	141
10534at6447	Duplicated	TRINITY_DN4858_c1_g1_i3	154.7	141
10535at6447	Complete	TRINITY_DN5678_c0_g1_i1	131.6	125
10537at6447	Duplicated	TRINITY_DN2374_c0_g1_i1	124.9	140
10537at6447	Duplicated	TRINITY_DN2374_c0_g1_i2	124.9	140
10538at6447	Missing
1053at6447	Complete	TRINITY_DN11041_c0_g1_i1	1047.4	618
10545at6447	Missing
10547at6447	Complete	TRINITY_DN9582_c1_g1_i3	212.5	808
10549at6447	Missing
10553at6447	Complete	TRINITY_DN4034_c0_g1_i1	146.6	108
10555at6447	Missing
1055at6447	Missing
10560at6447	Duplicated	TRINITY_DN17696_c1_g1_i1	266.3	139
10560at6447	Duplicated	TRINITY_DN17696_c1_g1_i2	266.3	139
10562at6447	Duplicated	TRINITY_DN3960_c1_g1_i1	141.5	79
10562at6447	Duplicated	TRINITY_DN3960_c1_g1_i2	141.5	79
10564at6447	Duplicated	TRINITY_DN27466_c0_g1_i1	151.5	85
10564at6447	Duplicated	TRINITY_DN27466_c0_g1_i2	151.4	85
10565at6447	Duplicated	TRINITY_DN6473_c0_g1_i1	170.0	92
10565at6447	Duplicated	TRINITY_DN6473_c0_g1_i2	170.3	92
10568at6447	Duplicated	TRINITY_DN16416_c0_g2_i1	193.4	114
10568at6447	Duplicated	TRINITY_DN16416_c0_g2_i2	194.8	114
10570at6447	Fragmented	TRINITY_DN38036_c0_g2_i1	140.1	145
10571at6447	Complete	TRINITY_DN46737_c0_g1_i1	150.4	163
10572at6447	Duplicated	TRINITY_DN1011_c0_g2_i1	158.7	111
10572at6447	Duplicated	TRINITY_DN1011_c0_g2_i2	158.9	111
10573at6447	Duplicated	TRINITY_DN6749_c3_g1_i1	149.1	184
10573at6447	Duplicated	TRINITY_DN6749_c3_g1_i2	148.9	183
10575at6447	Missing
10576at6447	Missing
1057at6447	Complete	TRINITY_DN10163_c0_g3_i1	1215.9	635
10581at6447	Complete	TRINITY_DN33508_c1_g1_i1	254.6	345
10583at6447	Duplicated	TRINITY_DN55834_c0_g1_i1	229.4	322
10583at6447	Duplicated	TRINITY_DN55834_c0_g1_i3	229.1	322
10583at6447	Duplicated	TRINITY_DN55834_c0_g1_i4	229.1	322
10584at6447	Complete	TRINITY_DN14263_c0_g1_i1	141.3	171
10590at6447	Complete	TRINITY_DN13106_c0_g1_i1	285.2	594
10597at6447	Missing
10598at6447	Complete	TRINITY_DN2610_c0_g1_i1	124.6	98
1059at6447	Complete	TRINITY_DN8035_c0_g1_i2	455.0	875
10601at6447	Duplicated	TRINITY_DN26887_c1_g1_i1	160.1	130
10601at6447	Duplicated	TRINITY_DN26887_c1_g1_i3	168.6	149
10601at6447	Duplicated	TRINITY_DN26887_c1_g1_i4	168.4	149
10603at6447	Complete	TRINITY_DN49194_c0_g1_i1	136.1	82
10609at6447	Missing
10615at6447	Duplicated	TRINITY_DN44404_c0_g2_i1	341.1	419
10615at6447	Duplicated	TRINITY_DN44404_c0_g2_i2	341.1	419
10615at6447	Duplicated	TRINITY_DN44404_c0_g2_i5	341.3	419
10616at6447	Missing
10618at6447	Duplicated	TRINITY_DN12843_c0_g1_i1	149.4	84
10618at6447	Duplicated	TRINITY_DN12843_c0_g1_i2	149.3	84
1061at6447	Complete	TRINITY_DN38716_c0_g1_i1	1229.6	682
10621at6447	Missing
10623at6447	Duplicated	TRINITY_DN3767_c0_g2_i1	194.3	135
10623at6447	Duplicated	TRINITY_DN3767_c0_g2_i2	194.2	135
10624at6447	Complete	TRINITY_DN12187_c1_g1_i1	206.9	158
1063at6447	Duplicated	TRINITY_DN4414_c0_g1_i14	1269.4	867
1063at6447	Duplicated	TRINITY_DN4414_c0_g1_i6	1269.1	867
1063at6447	Duplicated	TRINITY_DN4414_c0_g1_i9	1269.1	867
10640at6447	Duplicated	TRINITY_DN49407_c0_g2_i1	213.7	153
